Date,Open,High,Low,Close,Adj Close,Volume
27-03-2019,1191.920044,1191.920044,1164.22998,1178.01001,1178.01001,1471400
28-03-2019,1175.5,1177.25,1163.430054,1172.27002,1172.27002,1120100
29-03-2019,1180.180054,1183.969971,1166.380005,1176.890015,1176.890015,1544500
01-04-2019,1187.540039,1200.199951,1186.359985,1198.97998,1198.97998,1385300
02-04-2019,1200.050049,1205.810059,1191.23999,1205.540039,1205.540039,914400
03-04-2019,1212.699951,1220.599976,1205.079956,1210.810059,1210.810059,1109600
04-04-2019,1211.290039,1220.550049,1209.040039,1219.449951,1219.449951,1051100
05-04-2019,1219.300049,1220.390015,1210.030029,1211.449951,1211.449951,1000600
08-04-2019,1211.109985,1213.949951,1204.699951,1208.280029,1208.280029,1087500
09-04-2019,1201.890015,1207.150024,1198.380005,1202.689941,1202.689941,983400
10-04-2019,1205.089966,1208.939941,1200.660034,1206.449951,1206.449951,775500
11-04-2019,1208.900024,1212.73999,1204.540039,1209.589966,1209.589966,849900
12-04-2019,1215.619995,1223.050049,1213.290039,1222.72998,1222.72998,1215600
15-04-2019,1224.089966,1229.300049,1214.560059,1226.530029,1226.530029,1189800
16-04-2019,1230,1235.97998,1225.040039,1231.910034,1231.910034,1131100
17-04-2019,1237,1245.099976,1232.900024,1240.140015,1240.140015,1518300
18-04-2019,1245,1245.939941,1239.410034,1241.469971,1241.469971,1237500
22-04-2019,1236.670044,1254.339966,1233.369995,1253.76001,1253.76001,954200
23-04-2019,1256.640015,1274.430054,1251.969971,1270.589966,1270.589966,1593400
24-04-2019,1270.589966,1274,1259.810059,1260.050049,1260.050049,1169800
25-04-2019,1270.300049,1272.800049,1258,1267.339966,1267.339966,1567200
26-04-2019,1273.380005,1278.910034,1265,1277.420044,1277.420044,1361400
29-04-2019,1280.51001,1296.969971,1271.709961,1296.199951,1296.199951,3618400
30-04-2019,1190.630005,1200.97998,1183,1198.959961,1198.959961,6658900
01-05-2019,1197.5,1199.25,1171.680054,1173.319946,1173.319946,3717000
02-05-2019,1172.599976,1179.380005,1158.329956,1166.51001,1166.51001,2254900
03-05-2019,1177.410034,1191.400024,1173.550049,1189.550049,1189.550049,2079400
06-05-2019,1172,1195.430054,1171.160034,1193.459961,1193.459961,1588700
07-05-2019,1185.810059,1194.77002,1165,1178.859985,1178.859985,1830200
08-05-2019,1177.290039,1184.27002,1167.630005,1170.780029,1170.780029,1276000
09-05-2019,1162.599976,1174.069946,1154.640015,1167.969971,1167.969971,1477800
10-05-2019,1168.839966,1176.280029,1146.369995,1167.640015,1167.640015,1582500
13-05-2019,1145.23999,1151.969971,1125.5,1136.589966,1136.589966,2281300
14-05-2019,1142.319946,1144.869995,1123.530029,1124.859985,1124.859985,2019600
15-05-2019,1122.550049,1178.300049,1121.400024,1170.800049,1170.800049,2965100
16-05-2019,1171.839966,1194.160034,1168.449951,1184.5,1184.5,1765400
17-05-2019,1175.829956,1186.290039,1166.420044,1168.780029,1168.780029,1268100
20-05-2019,1153,1153,1138.140015,1144.660034,1144.660034,1530100
21-05-2019,1154.47998,1158,1143.310059,1154.439941,1154.439941,1028100
22-05-2019,1151.25,1163.780029,1151,1155.849976,1155.849976,941300
23-05-2019,1146.069946,1150.050049,1133.160034,1145.339966,1145.339966,1260700
24-05-2019,1152,1154.359985,1136.709961,1138.609985,1138.609985,927700
